AuthorID;AuthorsFollowedBy
951405199501172335;'right_ad'
951405199501172335; 'complex_game'
951405199501172335; 'internal_noise'
951405199501172335; 'pretend_boy'
951405199501172335; 'hungry_dear'
951405199501172335; 'better_log'
951405199501172335; 'better_lesson'
951405199501172335; 'significant_shot'
786906199204277444;'technical_party'
786906199204277444; 'material_slice'
786906199204277444; 'unusual_youth'
786906199204277444; 'more_taste'
786906199204277444; 'this_pitch'
786906199204277444; 'rough_skirt'
786906199204277444; 'realistic_negative'
786906199204277444; 'free_occasion'
843621200010252341;'better_formal'
843621200010252341; 'technical_might'
843621200010252341; 'sharp_feed'
843621200010252341; 'prize_claim'
843621200010252341; 'desperate_winter'
843621200010252341; 'civil_session'
906115196805179868;'sexual_chance'
906115196805179868; 'character_wealth'
906115196805179868; 'ugly_recommendation'
906115196805179868; 'other_most'
906115196805179868; 'embarrassed_guitar'
906115196805179868; 'chemical_winner'
186180198803257297;'left_girlfriend'
186180198803257297; 'positive_special'
186180198803257297; 'suitable_character'
186180198803257297; 'useful_internal'
186180198803257297; 'individual_history'
186180198803257297; 'equivalent_error'
186180198803257297; 'home_engineering'
186180198803257297; 'actual_few'
268438196005088720;'excellent_church'
630755197904109723;'connect_combine'
630755197904109723; 'lonely_boyfriend'
630755197904109723; 'major_environment'
630755197904109723; 'educational_sock'
630755197904109723; 'late_suit'
792232198411283992;'rich_bug'
792232198411283992; 'fair_phone'
792232198411283992; 'various_shake'
792232198411283992; 'objective_meaning'
792232198411283992; 'white_lock'
792232198411283992; 'annual_hell'
792232198411283992; 'available_try'
868565198106173524;'common_cigarette'
868565198106173524; 'salt_end'
868565198106173524; 'rich_bug'
868565198106173524; 'international_exchange'
868565198106173524; 'dark_external'
868565198106173524; 'which_company'
868565198106173524; 'resident_engineering'
868565198106173524; 'environmental_college'
868565198106173524; 'exciting_instance'
868565198106173524; 'select_neat'
897099198707134169;'relevant_clothes'
897099198707134169; 'fine_hide'
897099198707134169; 'another_gather'
897099198707134169; 'false_error'
242665196611014562;'physical_challenge'
242665196611014562; 'full_you'
242665196611014562; 'such_error'
242665196611014562; 'various_user'
242665196611014562; 'exact_hold'
242665196611014562; 'economy_milk'
750371196106109922;'east_dark'
750371196106109922; 'ugly_recommendation'
750371196106109922; 'big_aside'
750371196106109922; 'old_wood'
673325199304087910;'financial_wife'
673325199304087910; 'afternoon_bake'
673325199304087910; 'medium_good'
673325199304087910; 'dependent_creative'
673325199304087910; 'suspicious_age'
673325199304087910; 'true_square'
673325199304087910; 'animal_comment'
673325199304087910; 'motor_till'
525386200012076379;'adult_risk'
525386200012076379; 'capital_hall'
525386200012076379; 'sick_menu'
525386200012076379; 'forward_pool'
525386200012076379; 'comfortable_level'
525386200012076379; 'sad_ball'
525386200012076379; 'sick_mix'
525386200012076379; 'corner_cancer'
525386200012076379; 'opening_morning'
525386200012076379; 'soft_exam'
525386200012076379; 'drunk_health'
102053196407095853;'plenty_inspector'
102053196407095853; 'beautiful_hour'
102053196407095853; 'nasty_spell'
102053196407095853; 'impossible_conversation'
979077198305194074;'sweet_window'
979077198305194074; 'hot_assistance'
979077198305194074; 'inside_mom'
979077198305194074; 'impossible_way'
430528196811215955;'own_guitar'
430528196811215955; 'primary_platform'
466781197210276259;'tall_rise'
466781197210276259; 'opening_solution'
466781197210276259; 'fresh_fish'
466781197210276259; 'solid_map'
466781197210276259; 'general_club'
466781197210276259; 'aggressive_activity'
466781197210276259; 'forward_gather'
466781197210276259; 'remote_noise'
466781197210276259; 'sweet_virus'
466781197210276259; 'secure_pass'
466781197210276259; 'funny_house'
466781197210276259; 'obvious_copy'
720963196710179916;'thick_virus'
720963196710179916; 'quick_sleep'
720963196710179916; 'inner_blood'
720963196710179916; 'confident_go'
973470199406073921;'budget_kind'
973470199406073921; 'nearby_somewhere'
973470199406073921; 'frequent_bird'
973470199406073921; 'firm_bath'
973470199406073921; 'general_mistake'
973470199406073921; 'individual_register'
973470199406073921; 'much_proposal'
973470199406073921; 'think_wife'
647761198512149945;'curious_hunt'
647761198512149945; 'technical_temperature'
51653619691012865X;'corner_bath'
51653619691012865X; 'civil_grab'
51653619691012865X; 'accurate_specific'
51653619691012865X; 'agent_inside'
51653619691012865X; 'chicken_design'
51653619691012865X; 'odd_fat'
51653619691012865X; 'general_maximum'
168804198101096628;'alive_tongue'
168804198101096628; 'competitive_switch'
168804198101096628; 'this_shoot'
168804198101096628; 'terrible_airline'
168804198101096628; 'true_membership'
168804198101096628; 'brief_depth'
993716198710224381;'leather_clothes'
993716198710224381; 'small_active'
993716198710224381; 'sudden_routine'
670688197112212158;'current_mortgage'
670688197112212158; 'clean_reveal'
670688197112212158; 'healthy_coat'
670688197112212158; 'cold_orange'
670688197112212158; 'guilty_arm'
670688197112212158; 'past_worth'
670688197112212158; 'separate_dealer'
670688197112212158; 'similar_person'
670688197112212158; 'front_fishing'
362569199604245726;'equal_wing'
362569199604245726; 'sorry_glove'
362569199604245726; 'global_mouth'
602898197103178640;'temporary_gate'
602898197103178640; 'fine_hide'
602898197103178640; 'special_apartment'
602898197103178640; 'thick_focus'
